Word,corr
tinsel,down
ant,left
shed,down
effigy,down
trowel,down
mastodon,left
pontoon,down
tarragon,left
yucca,left
trellis,down
foal,left
rind,down
heron,left
sombrero,down
scapula,down
mussel,left
minnow,left
thimble,down
easel,down
beet,left
shamrock,left
lymph,left
shrub,left
cymbal,down
anemone,left
belfry,down
fedora,down
luge,down
poplar,left
guava,left
pomegranate,left
tusk,left
tentacle,left
microbe,left
stirrup,down
utensil,down
macaw,left
duvet,down
gibbon,left
abacus,down
rapier,down
patella,left
chrysanthemum,left
papoose,left
pram,left
scimitar,left
cistern,down
monocle,down
scabbard,down
harpsichord,down
haddock,down
bodice,down
lentil,left
gardenia,left
burlap,down
sandal,down
cashew,left
daffodil,left
bivouac,down
linseed,left
parapet,down
sloop,down
metronome,down
thyme,left
manatee,left
mollusc,left
settee,down
rhesus,left
gingham,down
lemur,left
caraway,left
sabre,down
basilica,down
spanner,down
periwinkle,left
memoir,down
stencil,down
crucible,down
