ShapeColor,TextColor,Word,Corr,Congruency,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,Participant ID,date,expName,session,frameRate,
"[1, 1, -1]",Yellow,Green,m,Incon,0,0,0,3,,,,,n,0,2.87058711052,9999999,2018_Nov_04_1442,Stroop,01,59.9959376225,
"[1, -1, -1]",Red,Green,r,Incon,0,1,1,8,,,,,v,0,1.32042002678,9999999,2018_Nov_04_1442,Stroop,01,59.9959376225,
"[-1, -1, 1]",Blue,Blue,n,Con,0,2,2,9,,,,,v,0,1.25376105309,9999999,2018_Nov_04_1442,Stroop,01,59.9959376225,
"[-1, 0.6, -1]",Green,Green,b,Con,0,3,3,7,,,,,n,0,1.33823299408,9999999,2018_Nov_04_1442,Stroop,01,59.9959376225,
"[1, 1, -1]",Yellow,Yellow,m,Con,0,4,4,1,,,,,m,1,0.437077045441,9999999,2018_Nov_04_1442,Stroop,01,59.9959376225,
"[1, 1, -1]",Yellow,Blue,m,Incon,0,5,5,0,,,,,m,1,0.454037904739,9999999,2018_Nov_04_1442,Stroop,01,59.9959376225,
"[-1, -1, 1]",Blue,Red,n,Incon,0,6,6,6,,,,,n,1,1.53719687462,9999999,2018_Nov_04_1442,Stroop,01,59.9959376225,
"[1, -1, -1]",Red,Red,r,Con,0,7,7,4,,,,,b,0,1.17037010193,9999999,2018_Nov_04_1442,Stroop,01,59.9959376225,
"[-1, -1, 1]",Blue,Green,n,Incon,0,8,8,5,,,,,n,1,0.970502138138,9999999,2018_Nov_04_1442,Stroop,01,59.9959376225,
"[-1, 0.6, -1]",Green,Blue,b,Incon,0,9,9,2,,,,,b,1,1.17047905922,9999999,2018_Nov_04_1442,Stroop,01,59.9959376225,
