TL,TM,TR,CL,CM,CR,BL,BM,BR,probe,corr
*,*,*,P,*,Z,*,*,*,z,left
*,*,*,M,*,X,*,*,*,h,down
*,*,*,J,*,D,*,*,*,d,left
*,*,*,N,*,C,*,*,*,s,down
*,*,*,F,*,P,*,*,*,f,left
*,*,*,T,*,Q,*,*,*,h,down
*,*,*,K,*,L,*,*,*,k,left
*,*,*,L,*,H,*,*,*,p,down
*,*,*,B,*,J,*,*,*,j,left
*,*,*,G,*,B,*,*,*,p,down
*,*,*,V,*,L,*,*,*,v,left
*,*,*,D,*,Q,*,*,*,l,down
*,*,*,M,*,X,*,*,*,x,left
*,*,*,F,*,S,*,*,*,c,down
*,*,*,B,*,Q,*,*,*,q,left
*,*,*,J,*,Y,*,*,*,z,down
*,*,*,M,*,K,*,*,*,k,left
*,*,*,C,*,P,*,*,*,n,down
*,*,*,G,*,C,*,*,*,c,left
*,*,*,G,*,N,*,*,*,v,down
*,*,*,G,*,M,*,*,*,g,left
*,*,*,M,*,F,*,*,*,p,down
*,*,*,R,*,P,*,*,*,r,left
*,*,*,M,*,V,*,*,*,q,down
*,*,*,R,*,J,*,*,*,r,left
*,*,*,T,*,N,*,*,*,s,down
*,*,*,Z,*,P,*,*,*,z,left
*,*,*,X,*,S,*,*,*,q,down
*,*,*,K,*,S,*,*,*,s,left
*,*,*,Y,*,C,*,*,*,t,down
*,*,*,M,*,L,*,*,*,l,left
*,*,*,Z,*,L,*,*,*,p,down
*,*,*,Y,*,L,*,*,*,y,left
*,*,*,B,*,X,*,*,*,g,down
*,*,*,J,*,Z,*,*,*,j,left
*,*,*,F,*,R,*,*,*,s,down
*,*,*,B,*,D,*,*,*,d,left
*,*,*,Z,*,H,*,*,*,j,down
*,*,*,J,*,T,*,*,*,j,left
*,*,*,C,*,L,*,*,*,t,down
*,*,*,C,*,J,*,*,*,j,left
*,*,*,C,*,V,*,*,*,q,down
*,*,*,H,*,D,*,*,*,h,left
*,*,*,K,*,M,*,*,*,h,down
*,*,*,G,*,Q,*,*,*,q,left
*,*,*,X,*,Y,*,*,*,d,down
*,*,*,R,*,J,*,*,*,j,left
*,*,*,B,*,F,*,*,*,r,down
*,*,*,Z,*,Q,*,*,*,q,left
*,*,*,S,*,K,*,*,*,p,down
*,*,*,B,*,J,*,*,*,b,left
*,*,*,H,*,Q,*,*,*,x,down
*,*,*,P,*,H,*,*,*,p,left
*,*,*,H,*,G,*,*,*,d,down
*,*,*,S,*,K,*,*,*,s,left
*,*,*,F,*,Y,*,*,*,j,down
*,*,*,F,*,J,*,*,*,j,left
*,*,*,P,*,N,*,*,*,r,down
*,*,*,Z,*,D,*,*,*,d,left
*,*,*,G,*,K,*,*,*,y,down
*,*,*,Z,*,M,*,*,*,m,left
*,*,*,S,*,G,*,*,*,j,down
*,*,*,Y,*,B,*,*,*,b,left
*,*,*,X,*,L,*,*,*,j,down
*,*,*,B,*,R,*,*,*,r,left
*,*,*,L,*,D,*,*,*,h,down
*,*,*,D,*,P,*,*,*,d,left
*,*,*,V,*,L,*,*,*,b,down
*,*,*,B,*,T,*,*,*,b,left
*,*,*,Y,*,D,*,*,*,c,down
*,*,*,D,*,S,*,*,*,d,left
*,*,*,N,*,Y,*,*,*,z,down
*,*,*,S,*,N,*,*,*,n,left
*,*,*,D,*,X,*,*,*,t,down
*,*,*,L,*,D,*,*,*,l,left
*,*,*,J,*,D,*,*,*,f,down
*,*,*,T,*,Y,*,*,*,y,left
*,*,*,X,*,Y,*,*,*,l,down
*,*,*,T,*,M,*,*,*,t,left
*,*,*,Y,*,C,*,*,*,h,down
*,*,*,L,*,K,*,*,*,l,left
*,*,*,P,*,F,*,*,*,b,down
*,*,*,G,*,F,*,*,*,g,left
*,*,*,S,*,X,*,*,*,h,down
*,*,*,B,*,J,*,*,*,b,left
*,*,*,F,*,K,*,*,*,v,down
*,*,*,B,*,Q,*,*,*,q,left
*,*,*,Y,*,D,*,*,*,g,down
*,*,*,B,*,P,*,*,*,p,left
*,*,*,X,*,Z,*,*,*,v,down
*,*,*,L,*,Q,*,*,*,l,left
*,*,*,C,*,J,*,*,*,p,down
*,*,*,F,*,R,*,*,*,f,left
*,*,*,V,*,T,*,*,*,z,down
*,*,*,G,*,L,*,*,*,l,left
*,*,*,H,*,Z,*,*,*,c,down
*,*,*,D,*,Z,*,*,*,z,left
*,*,*,D,*,H,*,*,*,n,down
*,*,*,S,*,X,*,*,*,x,left
*,*,*,P,*,Q,*,*,*,m,down
*,*,*,Y,*,N,*,*,*,n,left
*,*,*,K,*,G,*,*,*,d,down
*,*,*,G,*,Z,*,*,*,g,left
*,*,*,H,*,S,*,*,*,d,down
*,*,*,F,*,R,*,*,*,r,left
*,*,*,L,*,Z,*,*,*,t,down
*,*,*,H,*,Z,*,*,*,z,left
*,*,*,X,*,V,*,*,*,q,down
*,*,*,Z,*,N,*,*,*,n,left
*,*,*,N,*,F,*,*,*,l,down
*,*,*,F,*,G,*,*,*,g,left
*,*,*,Z,*,B,*,*,*,d,down
*,*,*,V,*,P,*,*,*,p,left
*,*,*,J,*,C,*,*,*,x,down
*,*,*,B,*,J,*,*,*,b,left
*,*,*,B,*,X,*,*,*,r,down
*,*,*,T,*,V,*,*,*,t,left
*,*,*,N,*,C,*,*,*,r,down
*,*,*,D,*,Q,*,*,*,q,left
*,*,*,M,*,K,*,*,*,v,down
*,*,*,P,*,F,*,*,*,p,left
*,*,*,Y,*,V,*,*,*,q,down
*,*,*,C,*,T,*,*,*,t,left
*,*,*,Y,*,J,*,*,*,x,down
*,*,*,K,*,J,*,*,*,k,left
*,*,*,R,*,N,*,*,*,l,down
*,*,*,K,*,J,*,*,*,j,left
*,*,*,C,*,Q,*,*,*,n,down
*,*,*,L,*,Z,*,*,*,z,left
*,*,*,L,*,P,*,*,*,d,down
*,*,*,L,*,P,*,*,*,l,left
*,*,*,N,*,Y,*,*,*,g,down
*,*,*,S,*,J,*,*,*,j,left
*,*,*,X,*,F,*,*,*,l,down
*,*,*,F,*,M,*,*,*,f,left
*,*,*,S,*,T,*,*,*,q,down
*,*,*,F,*,L,*,*,*,l,left
