TL,TM,TR,CL,CM,CR,BL,BM,BR,probe,corr
Y,P,S,*,*,*,B,G,Q,q,left
G,D,H,*,*,*,K,P,Y,c,down
M,D,K,*,*,*,L,Q,Y,q,left
G,N,T,*,*,*,P,B,R,j,down
Q,C,Y,*,*,*,J,M,B,q,left
Q,V,K,*,*,*,J,L,D,g,down
P,M,B,*,*,*,G,Q,Y,y,left
V,J,S,*,*,*,D,Y,T,q,down
Z,T,G,*,*,*,F,S,H,s,left
M,J,R,*,*,*,Y,F,Q,b,down
N,G,P,*,*,*,C,H,K,k,left
M,B,K,*,*,*,L,V,T,g,down
F,K,V,*,*,*,D,M,X,m,left
F,C,H,*,*,*,B,D,M,n,down
C,X,J,*,*,*,N,K,G,g,left
M,H,S,*,*,*,L,R,K,f,down
G,C,R,*,*,*,P,D,Z,p,left
F,M,K,*,*,*,X,S,Z,v,down
M,T,P,*,*,*,S,Q,H,t,left
T,B,D,*,*,*,R,P,V,x,down
T,M,C,*,*,*,R,Z,Y,c,left
H,V,B,*,*,*,X,M,G,q,down
X,G,Y,*,*,*,J,P,R,r,left
N,Z,G,*,*,*,S,J,R,t,down
J,V,P,*,*,*,B,H,Z,h,left
J,H,V,*,*,*,X,Q,K,s,down
H,R,G,*,*,*,T,X,Q,x,left
D,H,Y,*,*,*,B,L,J,p,down
Z,Y,T,*,*,*,B,N,J,b,left
Y,T,N,*,*,*,G,X,F,s,down
M,X,Q,*,*,*,F,R,D,r,left
K,L,X,*,*,*,Y,C,H,r,down
L,F,Q,*,*,*,D,G,B,q,left
T,J,V,*,*,*,L,G,F,y,down
G,Y,H,*,*,*,P,B,Z,y,left
L,X,M,*,*,*,K,T,V,j,down
Q,R,D,*,*,*,C,F,N,q,left
X,R,D,*,*,*,V,M,N,c,down
F,L,T,*,*,*,N,V,S,l,left
R,Z,C,*,*,*,P,N,B,d,down
L,N,M,*,*,*,C,V,S,c,left
T,Y,V,*,*,*,J,N,B,h,down
S,F,X,*,*,*,K,T,R,k,left
P,S,K,*,*,*,N,X,Q,m,down
S,F,V,*,*,*,M,N,J,v,left
C,Q,S,*,*,*,D,H,T,g,down
D,N,F,*,*,*,Z,Q,J,j,left
N,V,Z,*,*,*,B,F,R,q,down
M,Q,D,*,*,*,K,S,X,k,left
R,K,C,*,*,*,S,H,B,m,down
K,N,H,*,*,*,P,B,X,x,left
P,S,T,*,*,*,L,H,M,r,down
R,L,Q,*,*,*,J,D,F,d,left
R,Z,D,*,*,*,F,X,Y,m,down
B,H,J,*,*,*,S,X,C,h,left
P,R,Y,*,*,*,L,M,Z,t,down
X,B,Y,*,*,*,Q,C,D,b,left
V,D,P,*,*,*,R,M,Z,l,down
X,S,M,*,*,*,K,L,Y,s,left
B,Q,D,*,*,*,S,V,C,k,down
P,H,D,*,*,*,M,R,C,h,left
J,G,R,*,*,*,Y,H,S,m,down
Y,T,C,*,*,*,V,S,D,y,left
B,G,C,*,*,*,H,J,R,z,down
F,H,S,*,*,*,Y,T,Q,h,left
Y,T,Q,*,*,*,G,V,P,j,down
F,N,M,*,*,*,X,V,C,x,left
X,G,B,*,*,*,D,P,M,k,down
K,N,M,*,*,*,X,Q,L,x,left
B,Z,V,*,*,*,G,P,M,x,down
H,B,F,*,*,*,Q,P,M,p,left
P,M,V,*,*,*,Z,N,S,g,down
