TL,TM,TR,CL,CM,CR,BL,BM,BR,probe,corr
D,J,B,*,T,*,Z,S,Q,t,left
S,J,B,*,X,*,C,V,D,y,down
F,T,C,*,D,*,R,Q,B,q,left
L,H,X,*,P,*,J,Q,B,t,down
Z,Y,B,*,H,*,N,M,F,n,left
X,V,Q,*,N,*,J,P,S,m,down
N,R,G,*,X,*,D,Q,F,f,left
N,L,J,*,C,*,T,Q,S,h,down
Y,Z,N,*,S,*,R,F,L,f,left
K,D,R,*,B,*,C,S,M,h,down
V,T,K,*,L,*,N,G,C,l,left
Q,D,N,*,T,*,P,B,C,y,down
V,X,Y,*,Z,*,K,M,D,k,left
G,L,P,*,X,*,H,V,R,c,down
P,S,Y,*,F,*,Q,K,M,f,left
H,Z,M,*,F,*,Q,C,Y,p,down
M,P,S,*,R,*,K,Q,Y,q,left
T,V,R,*,G,*,B,K,X,l,down
N,G,T,*,L,*,R,M,Z,m,left
Q,S,F,*,M,*,L,K,N,v,down
Z,X,L,*,Y,*,T,Q,B,q,left
P,Q,K,*,R,*,M,L,B,n,down
V,K,Z,*,C,*,P,B,Q,v,left
H,D,Y,*,R,*,L,Z,T,v,down
B,D,V,*,F,*,Z,R,X,d,left
M,S,X,*,Z,*,K,L,D,y,down
L,J,Z,*,Q,*,G,T,K,z,left
V,C,D,*,G,*,F,Q,B,j,down
N,V,B,*,D,*,S,X,J,x,left
K,H,F,*,Z,*,X,S,R,t,down
J,H,B,*,V,*,N,Z,K,b,left
N,R,L,*,X,*,P,K,T,m,down
B,G,C,*,X,*,F,L,Q,f,left
V,S,H,*,F,*,M,L,D,b,down
X,J,K,*,B,*,N,V,P,x,left
M,K,N,*,Y,*,B,T,R,c,down
D,K,G,*,X,*,R,P,Y,g,left
H,Y,R,*,J,*,Z,F,K,n,down
R,S,Q,*,M,*,L,T,J,l,left
P,G,T,*,L,*,J,Q,S,n,down
N,D,K,*,V,*,C,B,T,d,left
Y,F,L,*,K,*,J,B,Q,m,down
D,P,Z,*,H,*,M,V,F,z,left
F,M,B,*,J,*,L,R,V,d,down
Z,F,H,*,P,*,Q,R,N,q,left
Y,L,M,*,K,*,F,Q,S,x,down
K,N,B,*,G,*,H,L,S,h,left
H,G,K,*,Y,*,R,D,F,z,down
V,M,N,*,F,*,P,L,S,f,left
M,V,F,*,G,*,T,C,Z,h,down
N,M,P,*,J,*,H,R,G,r,left
S,F,V,*,J,*,L,T,C,d,down
J,G,P,*,X,*,H,Q,S,j,left
F,Z,Y,*,P,*,G,N,T,v,down
R,V,G,*,H,*,N,Q,Y,y,left
B,K,X,*,J,*,D,L,M,r,down
Y,J,Q,*,F,*,B,L,P,y,left
Y,M,T,*,D,*,L,V,N,x,down
T,Q,S,*,P,*,Y,D,X,y,left
T,S,C,*,M,*,Y,N,R,f,down
P,F,C,*,S,*,T,Z,Y,s,left
B,Y,M,*,T,*,D,Q,H,x,down
D,M,L,*,G,*,B,V,H,l,left
B,T,Q,*,Y,*,V,Z,K,g,down
T,Y,F,*,C,*,V,D,Z,t,left
M,S,K,*,T,*,N,H,J,f,down
M,V,X,*,R,*,D,N,Y,x,left
Q,S,C,*,P,*,V,X,B,g,down
J,L,D,*,Y,*,S,Q,M,y,left
X,J,Y,*,G,*,H,C,T,z,down
C,S,R,*,Y,*,H,T,Z,s,left
G,Q,C,*,S,*,Y,F,T,b,down
L,K,R,*,Y,*,F,S,J,k,left
K,X,C,*,M,*,J,F,G,t,down
Q,B,R,*,Z,*,M,F,X,m,left
V,D,G,*,T,*,P,L,Y,x,down
Z,S,F,*,M,*,H,G,B,s,left
M,Z,K,*,D,*,N,F,H,r,down
G,D,K,*,B,*,J,C,L,l,left
V,B,J,*,Q,*,S,N,Y,p,down
Q,N,D,*,K,*,C,B,V,k,left
H,R,N,*,Q,*,X,G,V,d,down
M,P,R,*,L,*,Q,C,T,m,left
L,B,J,*,C,*,M,V,R,k,down
J,M,R,*,V,*,G,F,Y,v,left
Z,D,J,*,Y,*,Q,V,C,b,down
L,X,Q,*,Z,*,K,H,G,g,left
L,Y,B,*,X,*,H,N,S,r,down
V,S,Q,*,F,*,G,Z,L,z,left
F,L,Z,*,C,*,N,S,H,q,down
T,V,Y,*,C,*,S,H,X,c,left
T,S,Y,*,Q,*,Z,V,X,b,down
R,H,Q,*,K,*,J,N,C,h,left
N,K,F,*,H,*,Z,L,B,g,down
B,P,Z,*,L,*,S,J,K,j,left
V,C,T,*,M,*,K,X,Y,h,down
Y,L,J,*,F,*,K,Q,G,j,left
V,S,G,*,R,*,Z,T,L,h,down
K,S,Z,*,V,*,T,G,M,v,left
G,D,T,*,Y,*,K,Z,N,s,down
X,B,Y,*,F,*,K,T,Q,y,left
N,K,T,*,F,*,M,H,B,r,down
D,Y,Q,*,P,*,K,N,H,q,left
S,P,D,*,Q,*,T,L,M,y,down
T,K,V,*,J,*,F,B,X,b,left
K,N,F,*,D,*,C,Y,P,j,down
R,P,B,*,N,*,M,S,V,s,left
F,G,Y,*,C,*,P,Z,X,v,down
Y,H,B,*,T,*,X,L,P,h,left
C,N,M,*,T,*,H,Y,G,d,down
