TL,TM,TR,CL,CM,CR,BL,BM,BR,probe,corr
*,*,*,M,X,R,*,*,*,s,down
*,*,*,V,L,D,*,*,*,j,down
*,*,*,H,B,G,*,*,*,h,left
*,*,*,X,V,S,*,*,*,x,left
*,*,*,B,K,P,*,*,*,p,left
*,*,*,V,H,X,*,*,*,h,left
*,*,*,D,B,M,*,*,*,b,left
*,*,*,V,Q,S,*,*,*,n,down
*,*,*,Z,M,H,*,*,*,c,down
*,*,*,S,Y,N,*,*,*,n,left
*,*,*,X,F,M,*,*,*,q,down
*,*,*,H,S,C,*,*,*,d,down
*,*,*,L,G,K,*,*,*,g,left
*,*,*,N,R,V,*,*,*,z,down
*,*,*,M,S,D,*,*,*,g,down
*,*,*,F,C,T,*,*,*,v,down
*,*,*,K,D,P,*,*,*,k,left
*,*,*,J,F,S,*,*,*,v,down
*,*,*,L,D,R,*,*,*,y,down
*,*,*,P,G,S,*,*,*,g,left
*,*,*,X,N,H,*,*,*,h,left
*,*,*,M,P,Q,*,*,*,m,left
*,*,*,F,H,R,*,*,*,t,down
*,*,*,Q,V,C,*,*,*,v,left
