TL,TM,TR,CL,CM,CR,BL,BM,BR,probe,corr
K,*,L,*,*,*,P,*,R,d,down
Y,*,C,*,*,*,N,*,X,m,down
M,*,Z,*,*,*,L,*,V,s,down
S,*,R,*,*,*,D,*,X,r,left
T,*,P,*,*,*,Z,*,V,c,down
L,*,F,*,*,*,B,*,J,d,down
C,*,Z,*,*,*,G,*,K,c,left
P,*,S,*,*,*,J,*,L,y,down
H,*,F,*,*,*,Z,*,G,d,down
P,*,C,*,*,*,B,*,V,p,left
M,*,X,*,*,*,T,*,D,d,left
S,*,C,*,*,*,P,*,L,c,left
V,*,Q,*,*,*,Z,*,M,z,left
C,*,T,*,*,*,S,*,L,t,left
M,*,X,*,*,*,B,*,Z,h,down
N,*,V,*,*,*,D,*,S,p,down
Y,*,L,*,*,*,X,*,Z,y,left
M,*,B,*,*,*,K,*,S,s,left
Z,*,D,*,*,*,R,*,Y,f,down
F,*,N,*,*,*,K,*,L,q,down
H,*,J,*,*,*,T,*,Y,r,down
D,*,F,*,*,*,L,*,P,p,left
H,*,Z,*,*,*,B,*,R,z,left
D,*,M,*,*,*,K,*,Y,k,left
