TL,TM,TR,CL,CM,CR,BL,BM,BR,probe,corr
*,*,*,Y,*,K,*,*,*,j,down
*,*,*,S,*,H,*,*,*,s,left
*,*,*,N,*,K,*,*,*,k,left
*,*,*,H,*,P,*,*,*,p,left
*,*,*,Z,*,D,*,*,*,z,left
*,*,*,T,*,H,*,*,*,s,down
*,*,*,F,*,C,*,*,*,z,down
*,*,*,Z,*,Q,*,*,*,h,down
*,*,*,F,*,M,*,*,*,d,down
*,*,*,D,*,Y,*,*,*,z,down
*,*,*,K,*,M,*,*,*,m,left
*,*,*,X,*,B,*,*,*,x,left
*,*,*,Y,*,H,*,*,*,y,left
*,*,*,V,*,C,*,*,*,v,left
*,*,*,K,*,G,*,*,*,k,left
*,*,*,T,*,H,*,*,*,q,down
*,*,*,K,*,V,*,*,*,k,left
*,*,*,P,*,G,*,*,*,d,down
*,*,*,N,*,K,*,*,*,q,down
*,*,*,V,*,S,*,*,*,t,down
*,*,*,K,*,Z,*,*,*,x,down
*,*,*,Y,*,G,*,*,*,g,left
*,*,*,H,*,N,*,*,*,r,down
*,*,*,G,*,D,*,*,*,d,left
