TL,TM,TR,CL,CM,CR,BL,BM,BR,probe,corr
V,C,T,*,*,*,Q,K,H,v,left
F,Y,B,*,*,*,M,L,S,x,down
X,D,J,*,*,*,T,N,K,q,down
Y,C,B,*,*,*,L,G,Z,h,down
J,S,N,*,*,*,M,X,H,d,down
T,C,F,*,*,*,K,L,B,c,left
M,X,G,*,*,*,P,V,H,y,down
R,C,L,*,*,*,S,N,Z,c,left
H,B,G,*,*,*,X,T,P,q,down
Q,Z,C,*,*,*,R,S,V,s,left
X,K,B,*,*,*,T,Y,J,n,down
P,C,G,*,*,*,M,D,Z,z,left
V,Y,H,*,*,*,R,X,K,s,down
M,P,T,*,*,*,D,N,B,m,left
G,Z,J,*,*,*,H,L,F,h,left
N,Q,R,*,*,*,D,K,Y,q,left
X,G,T,*,*,*,H,Z,M,m,left
P,L,R,*,*,*,Y,J,Q,f,down
S,K,M,*,*,*,H,B,V,h,left
C,T,Q,*,*,*,J,R,D,c,left
P,H,X,*,*,*,Y,G,Z,p,left
N,B,F,*,*,*,D,L,C,t,down
H,V,Z,*,*,*,T,R,Y,j,down
X,P,N,*,*,*,M,L,F,c,down
