TL,TM,TR,CL,CM,CR,BL,BM,BR,probe,corr
P,H,Z,K,*,L,J,M,V,k,left
G,Z,Y,J,*,Q,C,N,K,h,down
Z,L,H,N,*,K,G,R,B,k,left
P,M,K,S,*,X,G,C,R,d,down
T,P,Y,X,*,S,J,B,C,j,left
M,K,V,C,*,F,B,D,X,r,down
Y,B,D,G,*,R,K,C,S,r,left
Q,K,G,J,*,X,Z,F,C,b,down
P,Y,T,S,*,L,G,D,R,r,left
D,H,Y,L,*,K,V,X,N,g,down
J,M,X,R,*,T,Q,F,Y,j,left
S,X,Q,L,*,D,P,T,J,y,down
B,Y,M,Z,*,H,J,L,D,y,left
M,H,T,V,*,D,L,Z,R,j,down
F,J,S,Q,*,T,B,P,C,t,left
Z,H,C,Y,*,P,Q,L,K,n,down
N,M,K,S,*,X,H,F,V,x,left
F,P,Q,S,*,N,L,R,K,x,down
P,Y,Q,T,*,R,B,D,J,j,left
Q,K,L,G,*,Z,H,B,M,v,down
Y,S,D,G,*,V,N,X,K,k,left
K,P,F,R,*,B,N,Q,Z,g,down
T,N,Y,X,*,R,V,B,M,v,left
G,J,D,Z,*,Q,N,T,H,m,down
X,G,P,R,*,V,H,Y,B,v,left
R,P,N,S,*,C,J,H,B,x,down
F,R,J,V,*,P,T,B,S,t,left
B,Z,N,R,*,F,L,X,T,m,down
Q,S,N,D,*,R,K,L,H,l,left
M,C,N,R,*,P,S,Q,T,b,down
C,N,Q,Y,*,M,V,Z,P,p,left
J,C,H,G,*,Y,F,N,V,q,down
Y,J,X,B,*,D,N,M,Z,m,left
G,X,B,S,*,R,N,F,V,l,down
G,L,Y,K,*,Z,X,D,T,x,left
X,C,N,Z,*,F,H,D,T,g,down
Z,L,D,P,*,R,F,B,X,b,left
F,Q,H,D,*,S,L,P,X,k,down
J,M,Y,N,*,T,X,L,R,x,left
P,M,K,Y,*,L,X,D,Q,j,down
S,N,R,D,*,J,F,L,G,n,left
B,C,P,J,*,N,L,S,K,t,down
P,M,K,R,*,C,L,X,D,x,left
P,K,G,C,*,Q,S,M,T,h,down
B,V,Y,J,*,H,M,C,R,j,left
D,R,S,T,*,Z,G,Q,H,l,down
P,J,K,T,*,B,Y,C,M,k,left
G,Z,B,V,*,F,Y,H,R,n,down
T,F,Y,C,*,Q,J,D,S,t,left
K,D,J,B,*,V,R,N,Z,g,down
J,R,V,L,*,N,T,G,H,v,left
D,H,P,Q,*,R,Y,J,V,x,down
D,N,Z,F,*,C,Y,V,G,d,left
Z,P,T,Y,*,R,C,Q,V,j,down
Z,Q,T,B,*,L,S,R,J,t,left
H,T,F,G,*,Z,Y,C,N,k,down
L,Q,F,B,*,S,G,Z,J,z,left
P,Q,Y,K,*,D,L,M,T,v,down
Z,Q,V,G,*,J,H,K,T,h,left
J,M,G,L,*,Y,C,H,F,r,down
Z,Q,G,L,*,F,J,H,B,f,left
V,H,X,T,*,Y,Q,C,P,d,down
L,S,F,P,*,T,C,R,Q,p,left
J,D,Y,X,*,S,T,Z,V,g,down
R,V,D,Y,*,Q,S,B,P,b,left
R,T,Y,P,*,G,X,M,Z,q,down
L,G,T,F,*,B,K,S,M,g,left
Y,D,L,N,*,J,Z,C,S,k,down
T,C,N,D,*,S,F,Z,X,d,left
C,J,X,B,*,N,Q,L,S,p,down
Y,L,M,J,*,Z,N,R,B,n,left
Z,M,F,P,*,T,Y,Q,R,d,down
Z,V,R,C,*,L,K,D,X,z,left
F,N,Z,S,*,Y,M,L,R,c,down
Z,M,Q,G,*,F,T,D,C,t,left
V,Y,M,G,*,B,D,N,R,c,down
K,C,M,T,*,P,F,G,J,k,left
B,L,Q,P,*,C,X,R,M,h,down
D,L,H,N,*,C,Y,R,T,h,left
H,S,P,N,*,V,D,T,G,q,down
S,K,F,M,*,B,D,Z,Y,f,left
Q,Y,X,G,*,M,N,T,K,p,down
T,C,S,N,*,J,R,F,P,f,left
X,D,G,F,*,Y,H,L,R,b,down
K,P,B,G,*,Y,Z,J,V,y,left
Z,D,C,Q,*,M,T,K,S,h,down
C,R,G,S,*,K,H,P,B,k,left
Y,X,K,D,*,L,B,T,J,g,down
M,R,H,Z,*,V,T,Q,J,m,left
S,Q,X,B,*,D,C,F,L,t,down
P,K,Q,H,*,C,J,T,L,t,left
T,S,R,N,*,K,F,Y,Z,g,down
B,H,P,K,*,F,Z,S,N,b,left
R,X,G,D,*,J,B,C,L,h,down
T,Y,F,G,*,H,Z,J,Q,f,left
H,C,D,Z,*,J,K,B,Q,n,down
Q,N,D,B,*,P,T,K,C,t,left
R,B,Z,K,*,V,C,D,L,t,down
T,G,P,D,*,Y,N,F,K,n,left
Q,J,H,Y,*,N,F,P,B,t,down
Y,C,X,V,*,H,R,J,S,r,left
K,C,N,H,*,X,Y,P,J,v,down
Q,C,P,B,*,K,T,D,R,p,left
P,N,F,S,*,Z,G,Y,C,t,down
L,Q,Y,J,*,P,H,F,S,p,left
D,Q,X,K,*,J,V,T,B,h,down
X,H,Y,N,*,Z,M,F,B,f,left
M,Q,X,S,*,Y,K,G,C,v,down
J,M,G,V,*,T,P,F,R,t,left
Z,N,V,B,*,Y,T,H,S,d,down
Q,C,P,F,*,B,R,N,X,f,left
B,T,L,J,*,F,H,D,P,r,down
Y,N,P,D,*,M,F,Z,S,d,left
R,G,N,T,*,Q,F,K,J,m,down
T,P,R,G,*,B,Q,C,X,x,left
G,J,Y,C,*,Z,V,F,S,r,down
J,G,Y,M,*,V,D,P,B,j,left
N,K,D,S,*,J,X,F,M,y,down
N,X,Q,K,*,R,B,J,D,b,left
L,K,M,F,*,S,Z,Y,C,n,down
L,X,Q,K,*,C,S,R,G,g,left
