TL,TM,TR,CL,CM,CR,BL,BM,BR,probe,corr
T,N,M,J,*,C,Q,H,V,y,down
D,Y,P,K,*,S,G,R,F,z,down
V,Q,M,N,*,B,L,J,X,h,down
K,D,S,Y,*,F,Z,C,T,z,left
H,R,V,N,*,X,L,B,J,v,left
M,P,S,D,*,K,C,Z,T,c,left
J,Y,X,Q,*,N,V,H,L,r,down
T,G,P,K,*,M,B,Z,F,m,left
L,Y,N,H,*,D,V,R,X,n,left
C,B,K,G,*,Q,M,P,Z,f,down
H,R,L,N,*,S,D,T,J,x,down
V,K,G,P,*,B,Y,F,C,b,left
Z,T,M,Q,*,J,L,H,D,s,down
X,V,S,Y,*,F,K,B,C,v,left
D,Q,G,J,*,R,T,Z,L,l,left
H,Y,N,B,*,C,M,K,P,h,left
J,V,T,X,*,S,R,L,Z,v,left
B,N,P,K,*,G,H,C,Q,d,down
Y,J,V,S,*,M,D,F,T,x,down
B,K,R,N,*,G,Z,Q,C,c,left
J,D,Y,H,*,P,M,T,V,f,down
Q,G,S,F,*,R,N,C,Z,k,down
L,X,H,P,*,K,Y,M,B,d,down
J,Q,T,D,*,C,S,N,Z,t,left
