TL,TM,TR,CL,CM,CR,BL,BM,BR,probe,corr
R,S,M,G,H,T,N,D,P,h,left
D,X,N,C,J,S,Z,K,R,b,down
F,R,D,V,B,Q,K,M,C,r,left
X,F,Y,C,L,K,Q,T,B,n,down
Y,K,N,F,V,X,Q,S,T,f,left
G,P,T,D,X,L,Z,S,Q,h,down
Z,D,Y,H,G,J,K,N,P,h,left
R,V,Y,G,Z,M,X,B,F,p,down
S,L,Y,P,B,K,F,Q,Z,z,left
T,C,R,J,K,M,X,V,L,s,down
X,L,H,Q,N,Z,C,V,M,n,left
V,H,T,F,N,X,Y,Z,M,r,down
R,Q,P,T,G,B,L,J,F,r,left
C,M,S,N,G,P,H,R,D,l,down
P,M,R,B,V,Z,S,H,C,v,left
K,F,P,D,R,V,Q,J,S,z,down
B,D,G,S,V,Q,F,T,X,t,left
G,M,D,J,K,L,Q,V,N,f,down
Q,Y,K,G,N,R,T,X,L,g,left
C,G,S,T,L,K,J,Z,P,f,down
Z,K,S,X,L,J,C,H,N,k,left
H,F,B,P,R,C,D,L,N,z,down
G,S,Y,P,Q,V,B,T,D,y,left
B,S,P,Y,D,F,X,H,M,r,down
T,X,G,B,J,Y,Z,D,F,x,left
N,L,K,D,Q,M,C,Y,Z,x,down
F,X,D,L,Y,R,C,V,Q,x,left
S,K,Y,F,B,Z,T,C,P,v,down
D,Y,S,X,Q,T,K,M,G,s,left
K,N,F,T,Q,B,H,D,J,g,down
J,C,Q,G,M,F,D,X,Z,f,left
K,X,Q,C,L,F,D,Y,P,g,down
X,K,D,V,R,Z,F,H,J,j,left
H,P,M,Y,C,Z,F,L,N,j,down
H,V,X,R,Q,N,F,T,K,k,left
M,R,J,H,K,L,S,C,T,g,down
L,S,F,K,R,G,M,J,Y,g,left
B,Z,L,Y,D,J,C,S,T,v,down
K,R,T,Y,L,S,N,P,Z,y,left
J,H,Q,L,F,K,G,P,X,m,down
L,T,D,N,M,V,Z,X,G,d,left
Z,G,P,N,H,L,V,J,B,t,down
P,T,B,H,S,F,V,X,N,s,left
F,B,K,Q,C,Z,R,S,V,m,down
S,G,T,L,H,M,X,D,Q,t,left
L,Y,J,X,M,Z,P,V,C,n,down
F,Z,M,V,R,T,C,G,Q,v,left
S,C,B,G,L,V,K,M,Q,j,down
D,Q,C,G,P,F,R,T,S,q,left
Y,Z,M,K,R,C,L,V,F,p,down
J,S,X,T,D,M,C,L,G,g,left
Q,N,K,P,J,C,B,D,X,s,down
R,V,K,Y,L,F,G,B,C,b,left
