TL,TM,TR,CL,CM,CR,BL,BM,BR,probe,corr
K,*,L,*,*,*,V,*,R,l,left
D,*,J,*,*,*,Q,*,N,z,down
F,*,Y,*,*,*,K,*,G,k,left
X,*,Y,*,*,*,J,*,Z,m,down
Z,*,K,*,*,*,Q,*,Y,k,left
F,*,R,*,*,*,C,*,S,b,down
T,*,N,*,*,*,D,*,S,t,left
V,*,G,*,*,*,C,*,D,h,down
G,*,Z,*,*,*,Y,*,K,k,left
G,*,H,*,*,*,J,*,R,x,down
R,*,H,*,*,*,L,*,B,b,left
S,*,N,*,*,*,M,*,Q,p,down
J,*,G,*,*,*,D,*,M,j,left
M,*,L,*,*,*,S,*,X,n,down
L,*,C,*,*,*,S,*,J,s,left
D,*,Y,*,*,*,V,*,K,m,down
D,*,L,*,*,*,P,*,V,v,left
V,*,X,*,*,*,Q,*,P,r,down
F,*,Y,*,*,*,T,*,Q,f,left
Y,*,V,*,*,*,B,*,S,c,down
Y,*,N,*,*,*,B,*,V,v,left
Q,*,K,*,*,*,M,*,R,j,down
D,*,C,*,*,*,G,*,L,d,left
C,*,L,*,*,*,X,*,S,r,down
R,*,Q,*,*,*,M,*,P,m,left
Q,*,C,*,*,*,Y,*,D,f,down
L,*,D,*,*,*,K,*,G,l,left
G,*,H,*,*,*,Z,*,Y,l,down
S,*,G,*,*,*,Q,*,K,g,left
B,*,Z,*,*,*,S,*,V,q,down
Y,*,Q,*,*,*,Z,*,S,s,left
B,*,Q,*,*,*,X,*,N,y,down
J,*,V,*,*,*,X,*,B,v,left
M,*,K,*,*,*,V,*,Z,j,down
Q,*,X,*,*,*,G,*,K,q,left
M,*,X,*,*,*,F,*,T,q,down
J,*,V,*,*,*,F,*,T,f,left
L,*,D,*,*,*,G,*,J,c,down
V,*,R,*,*,*,Z,*,S,z,left
S,*,V,*,*,*,C,*,B,z,down
Z,*,C,*,*,*,N,*,F,z,left
K,*,P,*,*,*,F,*,L,h,down
S,*,D,*,*,*,M,*,L,m,left
P,*,G,*,*,*,C,*,Q,m,down
X,*,F,*,*,*,Q,*,N,f,left
H,*,Y,*,*,*,S,*,X,g,down
D,*,F,*,*,*,L,*,H,l,left
K,*,H,*,*,*,F,*,C,s,down
P,*,N,*,*,*,T,*,S,t,left
L,*,N,*,*,*,J,*,H,y,down
S,*,V,*,*,*,Q,*,R,r,left
K,*,B,*,*,*,V,*,Y,f,down
N,*,G,*,*,*,P,*,C,g,left
Y,*,V,*,*,*,X,*,F,k,down
T,*,K,*,*,*,Q,*,S,t,left
D,*,F,*,*,*,B,*,G,l,down
Y,*,F,*,*,*,M,*,R,r,left
P,*,C,*,*,*,L,*,T,y,down
B,*,D,*,*,*,K,*,Q,b,left
H,*,Y,*,*,*,S,*,Q,f,down
M,*,R,*,*,*,Q,*,F,m,left
Y,*,Z,*,*,*,Q,*,M,g,down
G,*,C,*,*,*,P,*,X,c,left
N,*,Z,*,*,*,V,*,C,d,down
Q,*,B,*,*,*,G,*,C,q,left
G,*,Q,*,*,*,V,*,K,b,down
J,*,G,*,*,*,K,*,V,v,left
S,*,N,*,*,*,K,*,M,l,down
K,*,B,*,*,*,X,*,D,b,left
Y,*,V,*,*,*,T,*,J,n,down
Y,*,D,*,*,*,J,*,H,d,left
Z,*,H,*,*,*,T,*,V,q,down
R,*,B,*,*,*,Q,*,J,r,left
T,*,H,*,*,*,C,*,F,r,down
R,*,Z,*,*,*,B,*,G,z,left
H,*,T,*,*,*,J,*,Y,p,down
C,*,B,*,*,*,S,*,K,c,left
C,*,L,*,*,*,Q,*,J,z,down
Q,*,T,*,*,*,B,*,F,q,left
S,*,V,*,*,*,T,*,K,r,down
C,*,Z,*,*,*,H,*,L,h,left
T,*,H,*,*,*,P,*,S,d,down
N,*,Q,*,*,*,G,*,P,n,left
L,*,P,*,*,*,Q,*,T,f,down
F,*,Y,*,*,*,D,*,T,y,left
B,*,G,*,*,*,Q,*,R,d,down
R,*,B,*,*,*,G,*,X,r,left
