TL,TM,TR,CL,CM,CR,BL,BM,BR,probe,corr
*,*,*,S,R,G,*,*,*,g,left
*,*,*,H,D,T,*,*,*,j,down
*,*,*,T,P,F,*,*,*,p,left
*,*,*,B,L,Y,*,*,*,h,down
*,*,*,H,C,K,*,*,*,k,left
*,*,*,C,V,Y,*,*,*,r,down
*,*,*,R,G,P,*,*,*,r,left
*,*,*,P,L,R,*,*,*,g,down
*,*,*,Y,B,V,*,*,*,v,left
*,*,*,R,Y,N,*,*,*,s,down
*,*,*,J,V,B,*,*,*,b,left
*,*,*,B,J,C,*,*,*,l,down
*,*,*,J,G,S,*,*,*,s,left
*,*,*,L,V,J,*,*,*,b,down
*,*,*,V,J,P,*,*,*,p,left
*,*,*,D,F,M,*,*,*,c,down
*,*,*,S,Q,R,*,*,*,s,left
*,*,*,G,Z,S,*,*,*,q,down
*,*,*,D,Y,Q,*,*,*,q,left
*,*,*,P,N,Q,*,*,*,v,down
*,*,*,J,M,V,*,*,*,j,left
*,*,*,S,D,L,*,*,*,b,down
*,*,*,B,S,Z,*,*,*,s,left
*,*,*,C,K,S,*,*,*,h,down
*,*,*,R,G,J,*,*,*,g,left
*,*,*,D,V,N,*,*,*,y,down
*,*,*,P,G,S,*,*,*,p,left
*,*,*,M,F,V,*,*,*,l,down
*,*,*,Z,R,D,*,*,*,d,left
*,*,*,N,S,L,*,*,*,p,down
*,*,*,P,Q,G,*,*,*,q,left
*,*,*,G,L,Z,*,*,*,y,down
*,*,*,Q,M,G,*,*,*,g,left
*,*,*,J,B,P,*,*,*,y,down
*,*,*,Q,M,C,*,*,*,q,left
*,*,*,D,L,K,*,*,*,n,down
*,*,*,G,B,S,*,*,*,g,left
*,*,*,N,D,M,*,*,*,v,down
*,*,*,R,C,G,*,*,*,c,left
*,*,*,X,G,V,*,*,*,r,down
*,*,*,M,B,Y,*,*,*,y,left
*,*,*,Q,R,S,*,*,*,d,down
*,*,*,Q,P,T,*,*,*,p,left
*,*,*,H,M,N,*,*,*,v,down
*,*,*,H,J,G,*,*,*,g,left
*,*,*,R,M,Y,*,*,*,c,down
*,*,*,R,Y,V,*,*,*,v,left
*,*,*,F,B,T,*,*,*,r,down
*,*,*,T,D,F,*,*,*,t,left
*,*,*,H,P,J,*,*,*,y,down
*,*,*,L,B,H,*,*,*,l,left
*,*,*,F,Z,D,*,*,*,c,down
*,*,*,Q,K,V,*,*,*,v,left
*,*,*,Z,K,Q,*,*,*,f,down
*,*,*,R,Q,F,*,*,*,f,left
*,*,*,J,H,P,*,*,*,r,down
*,*,*,J,Y,R,*,*,*,r,left
*,*,*,G,S,B,*,*,*,m,down
*,*,*,S,Y,V,*,*,*,v,left
*,*,*,M,X,Y,*,*,*,t,down
*,*,*,S,X,H,*,*,*,h,left
*,*,*,S,C,L,*,*,*,d,down
*,*,*,R,H,K,*,*,*,h,left
*,*,*,M,Z,G,*,*,*,l,down
*,*,*,H,M,C,*,*,*,h,left
*,*,*,S,G,X,*,*,*,v,down
*,*,*,R,K,G,*,*,*,r,left
