TL,TM,TR,CL,CM,CR,BL,BM,BR,probe,corr
T,Y,S,*,R,*,G,D,V,b,down
F,P,K,*,C,*,M,N,B,k,left
T,Z,X,*,G,*,J,V,R,z,left
S,Q,P,*,K,*,B,M,L,b,left
V,D,Z,*,X,*,N,R,Y,r,left
B,M,F,*,J,*,S,H,K,j,left
N,Y,T,*,Z,*,L,V,P,g,down
B,Q,M,*,F,*,K,J,D,f,left
X,P,L,*,G,*,V,T,C,z,down
Q,F,N,*,J,*,H,B,Z,d,down
Y,T,D,*,R,*,V,C,S,l,down
Z,J,M,*,F,*,G,N,K,n,left
Y,T,Q,*,C,*,V,D,L,c,left
P,B,X,*,J,*,R,H,G,s,down
S,T,Z,*,F,*,K,Q,M,d,down
R,B,D,*,J,*,X,V,C,h,down
T,F,K,*,S,*,Y,M,H,m,left
N,G,L,*,Z,*,P,X,R,n,left
M,V,S,*,Y,*,F,H,T,h,left
D,B,R,*,N,*,C,P,Z,g,down
S,V,T,*,Y,*,L,Q,G,k,down
P,X,D,*,H,*,N,M,R,z,down
J,L,B,*,G,*,Q,T,Y,v,down
D,P,S,*,R,*,K,X,Z,k,left
