TL,TM,TR,CL,CM,CR,BL,BM,BR,probe,corr
*,*,*,*,P,*,*,*,*,z,2
*,*,*,*,R,*,*,*,*,f,2
*,*,*,*,C,*,*,*,*,p,2
*,*,*,*,R,*,*,*,*,r,1
*,*,*,*,M,*,*,*,*,m,1
*,*,*,*,F,*,*,*,*,f,1
*,*,*,T,*,M,*,*,*,x,2
*,*,*,Z,*,S,*,*,*,g,2
*,*,*,N,*,J,*,*,*,j,1
*,*,*,D,*,F,*,*,*,t,2
*,*,*,B,*,V,*,*,*,b,1
*,*,*,J,*,D,*,*,*,d,1
*,*,*,P,L,F,*,*,*,v,2
*,*,*,S,G,Q,*,*,*,s,1
*,*,*,M,R,D,*,*,*,z,2
*,*,*,F,L,K,*,*,*,f,1
*,*,*,V,J,P,*,*,*,p,1
*,*,*,R,K,C,*,*,*,d,2
T,*,Q,*,*,*,H,*,B,q,1
L,*,V,*,*,*,S,*,D,f,2
C,*,T,*,*,*,Q,*,M,k,2
H,*,G,*,*,*,J,*,L,f,2
N,*,Y,*,*,*,B,*,M,n,1
V,*,P,*,*,*,T,*,J,t,1
V,*,D,*,F,*,K,*,M,p,2
S,*,R,*,Z,*,C,*,H,h,1
F,*,L,*,K,*,X,*,N,j,2
Q,*,T,*,R,*,B,*,G,p,2
F,*,V,*,Y,*,J,*,K,v,1
C,*,S,*,R,*,L,*,Q,q,1
H,Y,J,*,*,*,L,T,G,q,2
X,S,Z,*,*,*,F,M,K,v,2
J,T,C,*,*,*,D,P,N,h,2
K,L,Y,*,*,*,X,S,M,s,1
Z,F,T,*,*,*,P,D,R,t,1
K,B,M,*,*,*,G,J,C,c,1
F,N,K,*,Y,*,J,V,S,z,2
R,T,B,*,X,*,P,D,G,p,1
N,S,H,*,C,*,F,L,Z,q,2
R,M,D,*,B,*,X,G,T,d,1
N,L,V,*,P,*,H,Z,Y,h,1
B,F,R,*,D,*,S,Q,K,t,2
Y,P,J,H,*,X,K,C,N,v,2
S,H,M,Q,*,Z,B,F,G,m,1
N,X,H,D,*,V,K,C,R,k,1
Y,F,M,J,*,P,T,Q,C,s,2
Q,K,H,Z,*,G,V,R,D,h,1
B,M,S,V,*,P,T,C,Y,n,2
Y,S,Q,P,R,B,H,M,X,s,1
N,Z,R,L,D,H,J,C,F,n,1
M,S,B,T,J,G,H,P,Y,k,2
V,Q,D,F,R,L,Y,N,M,v,1
F,G,X,T,S,J,H,L,C,b,2
M,K,V,Y,N,J,L,D,Z,r,2
